Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-Feb-22,BRFL,9.3,9.75,-0.0473,0.037,0.037,0.7069
10-Feb-22,BRIGADE,508.1,495.8,0.0245,0.0296,0.0296,0.5655
10-Feb-22,BRISK,31,31,0,0,0,0
10-Feb-22,BRITANNIA,3534.55,3517.35,0.0049,0.015,0.0149,0.2847
10-Feb-22,BRNL,44.25,46.55,-0.0507,0.0259,0.0261,0.4986
10-Feb-22,BROOKS,94.45,95.15,-0.0074,0.0366,0.0365,0.6973
10-Feb-22,BSE,2279.1,2234.95,0.0196,0.0296,0.0296,0.5655
10-Feb-22,BSHSL,387.35,400.3,-0.0329,0.0235,0.0236,0.4509
10-Feb-22,BSL,112.75,113.2,-0.004,0.0373,0.0372,0.7107
10-Feb-22,BSLGOLDETF,44.2,44.17,0.0007,0.0091,0.009,0.1719
10-Feb-22,BSLNIFTY,19.59,19.38,0.0108,0.0129,0.0129,0.2465
10-Feb-22,BSLSENETFG,56.23,55.63,0.0107,0.0056,0.0056,0.107
10-Feb-22,BSOFT,463,455.75,0.0158,0.0291,0.0291,0.556
10-Feb-22,BUCKINGHAM,10,10,0,0,0,0
10-Feb-22,BURGERKING,136.5,137.1,-0.0044,0.0237,0.0236,0.4509
10-Feb-22,BURNPUR,8.3,7.9,0.0494,0.0385,0.0385,0.7355
10-Feb-22,BUTTERFLY,1339.3,1253.65,0.0661,0.0329,0.0331,0.6324
10-Feb-22,BVCL,25.25,25.6,-0.0138,0.0307,0.0307,0.5865
10-Feb-22,BYKE,34.8,33.45,0.0396,0.0377,0.0377,0.7203
10-Feb-22,CADILAHC,401.3,405.5,-0.0104,0.0187,0.0187,0.3573
10-Feb-22,CALSOFT,35.9,37,-0.0302,0.0427,0.0426,0.8139
10-Feb-22,CAMLINFINE,148.55,153.7,-0.0341,0.0322,0.0322,0.6152
10-Feb-22,CAMS,2598.45,2658.9,-0.023,0.0217,0.0217,0.4146
10-Feb-22,CANBK,258.8,260.25,-0.0056,0.0283,0.0282,0.5388
10-Feb-22,CANDC,5.2,5.55,-0.0651,0.0489,0.049,0.9361
10-Feb-22,CANFINHOME,640.55,628.85,0.0184,0.0246,0.0246,0.47
10-Feb-22,CANTABIL,911.8,888.15,0.0263,0.0297,0.0297,0.5674
10-Feb-22,CAPACITE,144.25,143.6,0.0045,0.0335,0.0334,0.6381
10-Feb-22,CAPFIN,10,10,0,0,0,0
10-Feb-22,CAPLIPOINT,799.1,782.15,0.0214,0.0307,0.0307,0.5865
10-Feb-22,CAPTRUST,118.9,115.65,0.0277,0.0464,0.0464,0.8865
10-Feb-22,CARBORUNIV,871.35,869.35,0.0023,0.025,0.0249,0.4757
10-Feb-22,CAREERP,133.2,133.6,-0.003,0.0287,0.0286,0.5464
